,Movie Title,Release Year,Director,Budget,Revenue,Genre,Duration,Rotten Tomatoes,IMDb,Studio
0,Snow White and the Seven Dwarfs,1937,William Cottrell,1490000.0,418000000.0,Musical,83,93,76,Disney
1,Pinocchio,1940,Norman Ferguson,2600000.0,164000000.0,Adventure,88,100,74,Disney
2,Fantasia,1940,James Algar,2280000.0,83300000.0,Musical,126,95,78,Disney
3,Dumbo,1941,Samuel Armstrong,950000.0,1300000.0,Adventure,64,98,72,Disney
4,Bambi,1942,James Algar,858000.0,267400000.0,Adventure,70,90,73,Disney
5,Saludos Amigos,1942,Wilfred Jackson,18667704.0,1135000.0,Adventure,42,83,61,Disney
6,The Three Caballeros,1944,Norman Ferguson,18667704.0,3355000.0,Comedy,71,82,64,Disney
7,Make Mine Music,1946,Robert Cormack,1350000.0,3275000.0,Comedy,75,70,63,Disney
8,Fun and Fancy Free,1947,Jack Kinney,18667704.0,3165000.0,Adventure,73,67,66,Disney
9,Melody Time,1948,Clyde Geronimi,1500000.0,2560000.0,Comedy,75,80,64,Disney
10,The Adventures of Ichabod and Mr. Toad,1949,James Algar,18667704.0,1625000.0,Comedy,68,94,70,Disney
11,Cinderella,1950,Clyde Geronimi,2900000.0,263600000.00000003,Drama,74,84,69,Disney
12,Alice in Wonderland,1951,Clyde Geronimi,3000000.0,5600000.0,Adventure,75,51,64,Disney
13,Peter Pan,1953,Clyde Geronimi,4000000.0,87400000.0,Adventure,77,81,73,Disney
14,Lady and the Tramp,1955,Clyde Geronimi,4000000.0,187000000.0,Drama,76,93,73,Disney
15,Sleeping Beauty,1959,Les Clark,6000000.0,51600000.0,Drama,75,89,72,Disney
16,One Hundred and One Dalmatians,1961,Clyde Geronimi,3600000.0,303000000.0,Adventure,79,98,72,Disney
17,The Sword in the Stone,1963,Wolfgang Reitherman,3000000.0,22200000.0,Adventure,79,66,72,Disney
18,The Jungle Book,1967,Wolfgang Reitherman,4000000.0,378000000.0,Musical,78,94,74,Disney
19,The Jungle Book,1967,Wolfgang Reitherman,4000000.0,378000000.0,Adventure,78,94,74,Disney
20,The Aristocats,1970,Wolfgang Reitherman,4000000.0,191000000.0,Musical,79,64,71,Disney
21,Robin Hood,1973,Wolfgang Reitherman,5000000.0,32000000.0,Adventure,83,43,66,Disney
22,The Rescuers,1977,John Lounsbery,7500000.0,169000000.0,Adventure,77,81,69,Disney
23,The Fox and the Hound,1981,Ted Berman,12000000.0,63500000.0,Comedy,83,70,73,Disney
24,The Black Cauldron,1985,Ted Berman,25000000.0,21300000.0,Adventure,80,53,64,Disney
25,The Great Mouse Detective,1986,Ron Clements,14000000.0,38700000.0,Adventure,74,80,72,Disney
26,Oliver & Company,1988,George Scribner,31000000.0,121000000.0,Adventure,74,50,67,Disney
27,The Little Mermaid,1989,Ron Clements,40000000.0,211343479.0,Adventure,83,93,76,Disney
28,The Rescuers Down Under,1990,Hendel Butoy,18667704.0,47400000.0,Adventure,77,69,69,Disney
